maximin_lfc,Bm1,Bm5,sorted_GC,sorted_Pre_GC
220,NA,NA,HSPD1,CLPTM1
221,NA,NA,SMAD2,CMAHP
222,NA,NA,TOP2A,CCM2
223,NA,NA,MARCKSL1,COPE
224,NA,NA,GCSAM,IDH2
225,NA,NA,CCT8,KIAA0930
226,NA,NA,HNRNPM,TCF25
227,NA,NA,E2F5,USP48
228,NA,NA,NASP,RNF113A
229,NA,NA,USP34,MRPL55
230,NA,NA,RBM6,TM9SF2
231,NA,NA,CDC123,DNAJB12
232,NA,NA,BCAS4,NXPE3
233,NA,NA,DNM1L,MAGED1
234,NA,NA,HNRNPH3,RNF181
235,NA,NA,SRP9,IGHA1
236,NA,NA,LSM14A,COPZ1
237,NA,NA,SGMS1,MARS
238,NA,NA,ODC1,SLC35E1
239,NA,NA,BTF3,RNF168
240,NA,NA,SUSD3,NUCB1
241,NA,NA,SNRPD2,TAPBPL
242,NA,NA,GAPDH,PSAP
243,NA,NA,LMO2,ARFIP2
244,NA,NA,PANK2,BTG2
245,NA,NA,RPRD1B,MIA3
246,NA,NA,DCUN1D1,DPAGT1
247,NA,NA,POLD4,RNF149
248,NA,NA,GMFB,MCFD2
249,NA,NA,UGGT1,XRN1
250,NA,NA,CPNE3,GIGYF2
251,NA,NA,ZNF207,SEC62
252,NA,NA,HADHA,EDF1
253,NA,NA,NUGGC,CYBA
254,NA,NA,ERAL1,RTN3
255,NA,NA,IPO5,ADI1
256,NA,NA,SOD1,IFI35
257,NA,NA,MCRS1,VCP
258,NA,NA,DNAJC8,BSG
259,NA,NA,PFN1,REPIN1
260,NA,NA,PKM,GPAA1
261,NA,NA,ATP8A1,MAN1A2
262,NA,NA,ALYREF,DSTN
263,NA,NA,SGPP1,SCFD1
264,NA,NA,AC006538.1,EMC3
265,NA,NA,EPS15,ARF1
266,NA,NA,SMARCD2,CD27
267,NA,NA,HDGFL2,QPCT
268,NA,NA,EWSR1,GLRX
269,NA,NA,IL12RB1,PQBP1
270,NA,NA,HAT1,GNS
271,NA,NA,UCP2,ERC1
272,NA,NA,KDM1A,CSRP1
273,NA,NA,MDH1,STT3B
274,NA,NA,NAA50,TMEM230
275,NA,NA,PAG1,PDXDC1
276,NA,NA,BTBD1,CCDC47
277,NA,NA,PTPN18,TOR3A
278,NA,NA,MCM2,BUD23
279,NA,NA,PRKDC,KLHDC2
280,NA,NA,UGP2,SPATS2
281,NA,NA,ATP5MG,CLDND1
282,NA,NA,COG4,UFL1
283,NA,NA,STRAP,PDK1
284,NA,NA,C1QBP,IRF7
285,NA,NA,BLOC1S6,NCLN
286,NA,NA,YWHAQ,CFLAR
287,NA,NA,USP39,SRP72
288,NA,NA,EIF4A3,GOLGA3
289,NA,NA,RBM15,CD9
290,NA,NA,FAM129A,GOLPH3
291,NA,NA,E2F4,COPA
292,NA,NA,PAICS,PAPSS1
293,NA,NA,NEIL1,IL10RA
294,NA,NA,TMEM131L,UFC1
295,NA,NA,HNRNPC,FURIN
296,NA,NA,VTA1,LAX1
297,NA,NA,EXOC5,SLC39A9
298,NA,NA,NUCKS1,ATRAID
299,NA,NA,MTMR14,MUL1
300,NA,NA,C12orf49,MAN2B1
301,NA,NA,ATP6V1C1,IGLL5
302,NA,NA,ARF5,RGS2
303,NA,NA,MRPL11,LARP1
304,NA,NA,TSN,TIMM17A
305,NA,NA,GGNBP2,TMEM147
306,NA,NA,UBR7,METTL7A
307,NA,NA,CACYBP,NBR1
308,NA,NA,ABR,SH3GLB1
309,NA,NA,NR3C1,CCNC
310,NA,NA,MKI67,RASSF6
311,NA,NA,VPS29,FTL
312,NA,NA,ENO1,RER1
313,NA,NA,LDHA,RPS6KB2
314,NA,NA,MCUB,NAPA
